Questions,Responses
Hello,Hi! How are you doing?
"I'm fine,what about you?","Thanks for asking ,I'm  good.   How can I help you? "
I want to book  a car.,"okay , What kind of cars you want to book sedan, suv,muv ?"
I want to rent a car.,"okay , What kind of car you want to rent ,sedan, suv,minicar?"
What are the options in sedan car?,"In sedan, we have following options Honda city, hundia creta and tata Tigor. "
what are rent of  sedan car?,rent of honda city are 400per hour  for all car in sedan category.
What are the options in SUV car?,"In suv, we have  tata nexon options ."
what are rent of  SUV car?,rent of SUV cars are : for  Ertiga 700 per hour  and for fortuner 800 per hour.
Do you provide minicars for rent?,"Yes, we do provide minicars like: Alto 800, Swift Dzire, etc."
how can I rent any car?,"first you need to login into our application ,after login on home page u  see all the cars that we offer  to book any car simply click  on book button present below car image . "
how many and what documents are require to book car?,For booking any car you need to provide copy of your driving license and any address proof.
What are steps to login?,if you are already register user then just login using  your user id and password  otherwise first u have to 1st signup to our project
How can I register for your application?,For registration click on new user-fill the registration form-submit
How to logout from application?,For logout on right upper corner  click on your profile it will display logout option.
What type of cars do you have?,"We have different types of cars as per different requirements, such as 7-seater, SUVs, etc."
Do you have cars which have different types of fuel?,"Yes, we do have cars which works on pertol, diesel and electric."
Does the Car Have to be Returned with a Full Tank of Gas?,"No, but one litre of petrol has to be filled."
What is the Return Process?,You'll have to drop the car in our showroom.
"Does your car have insurance, or do I have to get one?",We provide insurance only to those customers which have a good reputation.
What Happens if the Car is in an Accident?,"If we gave you a insurance, then it's okay. If you don't have one, then you'll have to pay the damages."
Do you have cars which run on electric?,"Yes, we do have electric cars. Here's the list of them: Tata nexon , Tata safari  etc"
Do you have cars which have more than 4 seats?,"Yes, we do have those ones. Here's the list: Ertiga , fortuner, Innova etc"
What is the rental cost of a car?,We rent the cars on hourly basis.
What is the payment process?,"You can pay in the form of cash, cheque or through UPI."
"Do I have to come to the showroom to get the car, or someone will deliver it to me?","No, you'll have to visit the showroom personally in order to collect the car."
Can I cancel the booking?,"Yes, you can cancel the booking, but 30% of booking fees will de deducted from your refund as a cancellation fee."
